year,country,gas,coal,oil,temp
2021,Japan,1.679,3.405,3.107,0.034
2022,Japan,1.598,3.338,3.078,0.035
1990,United Kingdom,1.979,4.405,3.797,0.035
1991,United Kingdom,2.114,4.407,3.794,0.035
1992,United Kingdom,2.119,4.119,3.785,0.036
1993,United Kingdom,2.378,3.589,3.788,0.036
1994,United Kingdom,2.508,3.368,3.719,0.036
1995,United Kingdom,2.652,3.124,3.638,0.036
1996,United Kingdom,3.045,2.969,3.72,0.037
1997,United Kingdom,3.129,2.647,3.554,0.037
1998,United Kingdom,3.264,2.628,3.496,0.037
1999,United Kingdom,3.488,2.351,3.427,0.037
2000,United Kingdom,3.558,2.446,3.357,0.038
2001,United Kingdom,3.545,2.59,3.351,0.038
2002,United Kingdom,3.477,2.38,3.294,0.038
2003,United Kingdom,3.485,2.559,3.25,0.038
2004,United Kingdom,3.519,2.454,3.29,0.038
2005,United Kingdom,3.39,2.443,3.308,0.039
2006,United Kingdom,3.18,2.635,3.23,0.039
2007,United Kingdom,3.194,2.451,3.188,0.039
2008,United Kingdom,3.267,2.244,3.044,0.039
2009,United Kingdom,3.009,1.821,2.884,0.039
2010,United Kingdom,3.205,1.873,2.854,0.039
2011,United Kingdom,2.649,1.845,2.709,0.039
2012,United Kingdom,2.474,2.314,2.662,0.039
2013,United Kingdom,2.448,2.212,2.574,0.04
2014,United Kingdom,2.228,1.78,2.567,0.04
2015,United Kingdom,2.262,1.4,2.612,0.04
2016,United Kingdom,2.515,0.726,2.64,0.04
2017,United Kingdom,2.437,0.59,2.635,0.04
2018,United Kingdom,2.419,0.499,2.593,0.04
2019,United Kingdom,2.374,0.365,2.518,0.04
2020,United Kingdom,2.218,0.339,2.138,0.04
2021,United Kingdom,2.341,0.351,2.245,0.04
2022,United Kingdom,1.978,0.288,2.193,0.04
1990,United States,4.039,7.162,8.598,0.204
1991,United States,4.065,7.007,8.27,0.207
1992,United States,4.162,7.0,8.376,0.209
1993,United States,4.223,7.157,8.307,0.212
1994,United States,4.285,7.136,8.389,0.214
1995,United States,4.424,7.134,8.269,0.217
1996,United States,4.455,7.36,8.511,0.22
1997,United States,4.44,7.455,8.507,0.222
1998,United States,4.314,7.471,8.587,0.225
1999,United States,4.297,7.401,8.729,0.228
2000,United States,4.446,7.686,8.838,0.23
2001,United States,4.217,7.386,8.802,0.233
2002,United States,4.312,7.328,8.693,0.236
2003,United States,4.143,7.396,8.821,0.238
2004,United States,4.115,7.392,8.985,0.241
2005,United States,4.014,7.4,8.936,0.244
2006,United States,3.927,7.206,8.736,0.247
2007,United States,4.132,7.206,8.589,0.249
2008,United States,4.107,7.004,7.918,0.252
2009,United States,3.999,6.079,7.403,0.254
2010,United States,4.149,6.375,7.396,0.257
2011,United States,4.173,5.964,7.171,0.259
2012,United States,4.327,5.23,6.925,0.262
2013,United States,4.406,5.374,6.95,0.264
2014,United States,4.442,5.294,6.957,0.267
2015,United States,4.526,4.535,7.009,0.269
2016,United States,4.502,4.095,6.987,0.271
2017,United States,4.397,3.939,6.969,0.273
2018,United States,4.833,3.751,7.062,0.276
2019,United States,4.96,3.173,6.99,0.278
2020,United States,4.879,2.586,6.032,0.28
2021,United States,4.877,2.954,6.582,0.283
2022,United States,5.12,2.759,6.613,0.285
